,미국 성장주(VUG),미국 가치주(VTV),선진국 주식(VEA),신흥국 주식(VWO),호주 주식(EWA),미국 부동산(VNQ),미국외 부동산(VNQI),글로벌 인프라(GII),글로벌 원자재(PDBC),한국종합채권(KODEX),한국종합채권(ACE),한국종합채권(KBSTAR),한국단기종합채권(KBSTAR),한국국채10년(KODEX),미국 물가채권(TIP)
TIF,19.23%,11.43%,2.99%,2.35%,0.00%,0.00%,0.00%,0.00%,0.00%,21.33%,21.33%,21.33%,0.00%,0.00%,0.00%
TDF2030,24.53%,14.58%,2.99%,3.81%,0.00%,0.00%,0.00%,0.00%,0.00%,15.95%,15.95%,15.95%,0.00%,6.25%,0.00%
TDF2035,28.13%,16.72%,2.99%,4.81%,0.00%,0.00%,0.00%,0.00%,0.00%,12.66%,12.66%,12.66%,0.00%,9.38%,0.00%
TDF2040,31.21%,18.55%,2.99%,5.66%,0.00%,0.00%,0.00%,0.00%,0.00%,9.97%,9.97%,9.97%,0.00%,11.67%,0.00%
TDF2045,33.98%,20.20%,3.09%,6.33%,0.00%,0.00%,0.00%,0.00%,0.00%,7.73%,7.73%,7.73%,0.00%,13.22%,0.00%
TDF2050,36.60%,21.75%,3.33%,6.82%,0.00%,0.00%,0.00%,0.00%,0.00%,5.82%,5.82%,5.82%,0.00%,14.04%,0.00%
TDF2055,38.74%,23.02%,3.52%,7.21%,0.00%,0.00%,0.00%,0.00%,0.00%,4.33%,4.33%,4.33%,0.00%,14.53%,0.00%
TDF2060,40.34%,23.98%,3.67%,7.51%,0.00%,0.00%,0.00%,0.00%,0.00%,3.18%,3.18%,3.18%,0.00%,14.96%,0.00%
MYSUPER STABLE,7.84%,4.41%,3.50%,1.90%,1.56%,2.00%,2.00%,3.00%,3.00%,13.17%,13.17%,13.17%,22.25%,0.00%,9.02%
MYSUPER GROWTH,25.40%,14.33%,11.36%,6.23%,2.95%,2.00%,2.00%,3.00%,3.00%,4.94%,4.94%,4.94%,8.34%,0.00%,6.57%
